Kurtosis;Impulse factor;RMS;Margin factor;Skewness;Shape factor;Peak to peak;Crest factor;Label
5.049039009;12.47276958;1.664738789;0.011081752;0.155986814;676.0960076;0.05720976;0.018448223;2
5.701360947;15.726542;1.88394447;0.012237482;0.349001137;682.1392925;0.06885748;0.023054737;2
12.21122323;20.13281323;2.025507125;0.013920857;-0.021902188;714.010684;0.107472832;0.028196795;2
7.023429811;14.22380611;11.02121134;0.001778914;-0.175414545;725.4901214;0.396693127;0.019605789;3
6.446275997;14.11154437;9.637271542;0.002033436;-0.103170358;720.095092;0.350593614;0.019596779;3
7.011868792;15.3055761;8.501775919;0.002468106;-0.229587239;729.4175513;0.325243068;0.020983285;3
6.855960227;16.54468248;7.641108455;0.003006965;-0.104831153;720.0682647;0.336142217;0.022976547;3
6.95524002;13.85845521;6.850720803;0.00277492;0.096531841;729.0009217;0.255013688;0.019010203;3
6.416949677;15.35971579;6.095719978;0.003508511;0.038021112;718.1833299;0.229981463;0.021386901;3
6.359647546;14.25394645;6.064470028;0.00327589;-0.00614266;717.4853042;0.223201841;0.019866534;3
6.421883724;14.68392428;5.557442946;0.003685786;-0.015888488;716.8643091;0.216470335;0.020483548;3
7.590796585;15.57079484;5.117681951;0.004172186;0.076450778;729.245539;0.210203557;0.021351923;3
6.616938415;13.25376198;4.282171567;0.004295247;-0.020478295;720.5879047;0.154720175;0.018392984;3
2.621069733;8.976684996;2.238453199;0.006090312;0.087372314;658.4585098;0.059976638;0.013632879;1
2.661593421;9.04017471;2.11958817;0.006496735;-0.035205661;656.4931007;0.054621132;0.013770403;1
2.553916397;9.308589658;1.947694534;0.007312178;0.093145412;653.6063708;0.052356864;0.014241889;1
2.898722942;12.20674737;1.84333022;0.010052917;0.010969279;658.7258643;0.05729186;0.018530846;1
2.933391994;10.47599477;1.720467369;0.009220145;0.152452089;660.4061133;0.050804432;0.015862959;1
3.518727525;12.27548634;1.592048738;0.011604216;-0.056019952;664.4564891;0.050070096;0.018474477;1
2.730331684;10.73227281;1.270270098;0.012876761;-0.011163076;656.128621;0.040153652;0.016356965;1
2.557783527;8.451593275;1.250539063;0.0103202;0.010386042;654.8671451;0.030233465;0.012905814;1
2.792581897;9.113729258;1.501652484;0.009193786;-0.045022331;660.1343015;0.041383567;0.013805871;1
2.745155402;9.964860481;1.665765317;0.009124664;0.071476349;655.6023902;0.044899491;0.015199549;1
