Label;principal component 1;principal component 2
Fault;0.124596966;0.014443085
Fault;0.62402989;0.042751389
Fault;0.656342993;0.046033589
Fault;0.776588136;0.051996427
Fault;0.646265401;0.042670114
Fault;0.716975178;0.042859068
Fault;0.727208067;0.044303031
Fault;0.465478919;0.028303751
Fault;0.624119703;0.037794546
Fault;0.635511907;0.044798972
Fault;0.843098635;0.058988508
Fault;-0.066369227;-0.016104114
Fault;-0.001961394;-0.011095822
Fault;0.030889069;-0.007503677
Fault;0.08538263;-0.004469991
Fault;0.069211448;-0.004683538
Fault;0.092141018;-0.001769801
Fault;0.00144057;-0.007110521
Fault;0.035331164;-0.00457041
Fault;0.126869778;0.000875177
Fault;0.023745672;-0.007002983
Healthy;-0.108772269;-0.014755617
Healthy;-0.09407188;-0.012378488
Healthy;-0.109975344;-0.015512032
Healthy;-0.059355393;-0.013027327
Healthy;-0.119017462;-0.017350489
Healthy;-0.117935341;-0.017299497
Healthy;-0.130334782;-0.018593302
Healthy;-0.088143332;-0.017092413
Healthy;-0.083098783;-0.017709261
Healthy;-0.107790678;-0.020055818
Fault;-0.088162627;-0.017013314
Fault;0.017401157;-0.008740758
Fault;0.054711604;-0.005467112
Fault;0.078919044;-0.004178042
Fault;0.109150343;-0.002481221
Fault;0.107637934;-0.001231595
Fault;0.056235986;-0.004502248
Fault;0.045252912;-0.005992516
Fault;-0.009358796;-0.010165314
Fault;-0.021688834;-0.012986764
Healthy;-0.123044002;-0.011521715
Healthy;-0.080938546;-0.009593381
Healthy;-0.025938607;-0.005906817
Healthy;-0.108473576;-0.014374072
Healthy;-0.083255583;-0.013012748
Healthy;-0.10027081;-0.015921128
Healthy;-0.11346374;-0.016255657
Healthy;-0.075356866;-0.012159444
Healthy;-0.095098196;-0.012750902
Healthy;-0.074124416;-0.009268406
Healthy;-0.112385541;-0.020157954
Healthy;-0.07994313;-0.017204647
Healthy;-0.075943211;-0.014462935
Healthy;-0.104407175;-0.017563202
Healthy;-0.087865622;-0.015450202
Healthy;-0.08022242;-0.01364581
Healthy;-0.085102682;-0.01453
Healthy;-0.092071584;-0.014457563
Healthy;-0.110514562;-0.016488194
Healthy;-0.102743558;-0.016615018
Fault;0.164791442;0.034850309
Fault;0.155543984;0.026806458
Fault;0.165014082;0.023979059
Fault;0.139819589;0.018851464
Fault;0.17543868;0.017760821
Fault;0.115510593;0.010641662
Fault;0.149658903;0.011653926
Fault;0.154301237;0.012967234
Fault;0.122041399;0.013317323
Fault;0.127535819;0.016867541
Fault;0.72434085;0.047236956
Fault;0.929081945;0.064020886
Fault;0.427251997;0.030714232
Fault;0.661283981;0.038374367
Fault;-0.088027996;-0.016960772
Fault;-0.09217778;-0.017206832
Fault;-0.100872395;-0.017476929
